Date,Price,Open,High,Low,Vol.,Change %
03/01/2026,4.953,5.037,5.057,4.78,5.59M,-2.88%
02/01/2026,5.1,5.006,5.28,4.953,10.26M,1.88%
01/01/2026,5.006,4.718,5.084,4.718,9.03M,3.73%
12/01/2025,4.826,4.73,4.852,4.664,12.76M,2.55%
11/01/2025,4.706,4.58,4.748,4.511,4.23M,2.86%
10/01/2025,4.575,4.44,4.63,4.44,5.69M,3.27%
09/01/2025,4.43,4.41,4.533,4.382,4.94M,0.45%
08/01/2025,4.41,4.269,4.459,4.222,6.77M,3.52%
07/01/2025,4.26,4.05,4.342,4.05,4.22M,3.30%
06/01/2025,4.124,4.055,4.135,3.995,3.87M,1.70%
05/01/2025,4.055,3.94,4.08,3.93,3.88M,2.92%
04/01/2025,3.94,4.021,4.06,3.42,11.94M,-2.88%
03/01/2025,4.057,3.968,4.086,3.86,4.05M,2.29%
02/01/2025,3.966,3.9,4.024,3.861,3.31M,1.41%
01/01/2025,3.911,3.865,3.947,3.825,3.65M,-0.84%
12/01/2024,3.944,3.903,3.987,3.847,3.30M,1.65%
11/01/2024,3.88,3.675,3.916,3.62,4.26M,5.52%
10/01/2024,3.677,3.704,3.765,3.67,4.41M,-0.73%
09/01/2024,3.704,3.544,3.779,3.514,4.71M,4.34%
08/01/2024,3.55,3.495,3.55,3.26,4.22M,1.46%
07/01/2024,3.499,3.385,3.558,3.355,4.85M,1.19%
06/01/2024,3.458,3.47,3.48,3.4,2.12M,0.52%
05/01/2024,3.44,3.372,3.46,3.331,4.37M,2.11%
04/01/2024,3.369,3.288,3.371,3.18,6.09M,2.46%
03/01/2024,3.288,3.19,3.308,3.15,3.96M,3.07%
02/01/2024,3.19,3.185,3.29,3.14,2.78M,0.09%
01/01/2024,3.187,3.323,3.323,3.165,4.32M,-5.15%
12/01/2023,3.36,3.2,3.36,3.165,3.22M,5.56%
11/01/2023,3.183,3.17,3.29,3.163,2.84M,0.63%
10/01/2023,3.163,3.325,3.328,3.127,3.89M,-4.61%
09/01/2023,3.316,3.34,3.384,3.27,2.57M,-0.57%
08/01/2023,3.335,3.41,3.421,3.24,3.91M,-2.20%
07/01/2023,3.41,3.274,3.42,3.165,4.94M,2.90%
06/01/2023,3.314,3.27,3.38,3.254,3.46M,1.50%
05/01/2023,3.265,3.35,3.37,3.262,3.53M,-1.95%
04/01/2023,3.33,3.31,3.38,3.31,6.88M,1.22%
03/01/2023,3.29,3.3,3.31,3.13,6.13M,-0.60%
02/01/2023,3.31,3.41,3.43,3.3,4.19M,-2.36%
01/01/2023,3.39,3.28,3.43,3.24,5.86M,1.19%
12/01/2022,3.35,3.39,3.41,3.32,6.84M,-0.59%
11/01/2022,3.37,3.17,3.39,3.17,6.51M,6.65%
10/01/2022,3.16,3.2,3.25,3.04,5.68M,-1.56%
09/01/2022,3.21,3.28,3.37,3.17,4.82M,-2.43%
08/01/2022,3.29,3.25,3.36,3.25,6.84M,1.23%
07/01/2022,3.25,3.14,3.27,3.12,6.42M,1.25%
06/01/2022,3.21,3.34,3.35,3.16,7.39M,-4.18%
05/01/2022,3.35,3.43,3.43,3.26,7.18M,-2.62%
04/01/2022,3.44,3.46,3.48,3.35,7.65M,-0.58%
03/01/2022,3.46,3.3,3.49,3.16,11.94M,5.49%
02/01/2022,3.28,3.3,3.5,3.25,11.52M,-0.61%
01/01/2022,3.3,3.17,3.32,3.16,13.23M,2.48%
12/01/2021,3.22,3.14,3.24,3.13,5.76M,2.88%
11/01/2021,3.13,3.28,3.34,3.13,8.51M,-4.28%
10/01/2021,3.27,3.15,3.3,3.1,9.55M,3.81%
09/01/2021,3.15,3.13,3.17,3.1,7.99M,0.64%
08/01/2021,3.13,3.22,3.25,3.12,10.10M,-2.49%
07/01/2021,3.21,3.17,3.22,3.12,25.83M,-0.31%
06/01/2021,3.22,3.25,3.28,3.17,11.19M,-0.92%
05/01/2021,3.25,3.27,3.28,3.1,13.19M,-0.61%
04/01/2021,3.27,3.23,3.3,3.19,11.44M,1.55%
