Date,Price,Open,High,Low,Change %
26-Mar,2.195,2.198,2.199,2.195,-0.17%
26-Feb,2.199,2.194,2.199,2.194,0.24%
26-Jan,2.193,2.189,2.194,2.189,0.23%
25-Dec,2.188,2.188,2.189,2.186,0.07%
25-Nov,2.187,2.188,2.188,2.187,-0.03%
25-Oct,2.188,2.184,2.189,2.184,0.20%
25-Sep,2.183,2.178,2.183,2.177,0.27%
25-Aug,2.177,2.17,2.177,2.17,0.49%
25-Jul,2.167,2.16,2.167,2.159,0.31%
25-Jun,2.16,2.148,2.16,2.148,0.55%
25-May,2.148,2.139,2.148,2.139,0.38%
25-Apr,2.14,2.136,2.14,2.126,0.22%
25-Mar,2.135,2.13,2.135,2.13,0.33%
25-Feb,2.128,2.118,2.128,2.118,0.51%
25-Jan,2.117,2.113,2.117,2.112,0.22%
24-Dec,2.112,2.109,2.112,2.109,0.27%
24-Nov,2.107,2.104,2.107,2.103,0.13%
24-Oct,2.104,2.101,2.104,2.101,0.15%
24-Sep,2.101,2.092,2.101,2.092,0.44%
24-Aug,2.092,2.08,2.092,2.08,0.56%
24-Jul,2.08,2.067,2.08,2.067,0.63%
24-Jun,2.067,2.058,2.067,2.058,0.44%
24-May,2.058,2.047,2.058,2.047,0.49%
24-Apr,2.048,2.047,2.049,2.044,0.05%
24-Mar,2.047,2.04,2.047,2.04,0.39%
24-Feb,2.039,2.037,2.039,2.035,0.15%
24-Jan,2.036,2.03,2.036,2.029,0.30%
23-Dec,2.03,2.018,2.03,2.018,0.59%
23-Nov,2.018,2.004,2.018,2.004,0.70%
23-Oct,2.004,1.998,2.004,1.997,0.35%
23-Sep,1.997,1.995,1.997,1.995,0.15%
23-Aug,1.994,1.99,1.994,1.99,0.25%
23-Jul,1.989,1.98,1.989,1.98,0.35%
23-Jun,1.982,1.982,1.983,1.981,0.10%
23-May,1.98,1.98,1.985,1.978,0.05%
23-Apr,1.979,1.973,1.98,1.973,0.35%
23-Mar,1.972,1.959,1.976,1.958,0.66%
23-Feb,1.959,1.961,1.964,1.958,0.00%
23-Jan,1.959,1.946,1.96,1.946,0.67%
22-Dec,1.946,1.937,1.947,1.937,0.57%
22-Nov,1.935,1.925,1.935,1.914,0.36%
22-Oct,1.928,1.934,1.935,1.922,-0.31%
22-Sep,1.934,1.949,1.951,1.933,-0.82%
22-Aug,1.95,1.953,1.953,1.949,-0.05%
22-Jul,1.951,1.949,1.951,1.944,0.26%
22-Jun,1.946,1.956,1.956,1.941,-0.51%
22-May,1.956,1.949,1.956,1.948,0.31%
22-Apr,1.95,1.955,1.955,1.947,-0.26%
22-Mar,1.955,1.975,1.976,1.952,-0.91%
22-Feb,1.973,1.983,1.984,1.973,-0.50%
22-Jan,1.983,1.992,1.992,1.983,-0.45%
21-Dec,1.992,1.993,1.993,1.989,0.00%
21-Nov,1.992,1.993,1.994,1.989,-0.05%
21-Oct,1.993,1.999,2,1.993,-0.35%
21-Sep,2,2.002,2.003,2,-0.05%
21-Aug,2.001,1.999,2.001,1.998,0.10%
21-Jul,1.999,1.996,1.999,1.996,0.15%
21-Jun,1.996,1.994,1.996,1.994,0.15%
21-May,1.993,1.989,1.993,1.989,0.25%
21-Apr,1.988,1.997,1.998,1.986,-0.45%
