Date,Price,Open,High,Low,Vol.,Change %
03/01/2026,1.134,1.143,1.144,1.128,8.75M,-0.53%
02/01/2026,1.14,1.133,1.146,1.13,18.63M,0.71%
01/01/2026,1.132,1.127,1.135,1.119,25.77M,-0.18%
12/01/2025,1.134,1.145,1.145,1.125,14.85M,-0.96%
11/01/2025,1.145,1.158,1.165,1.14,14.40M,-1.04%
10/01/2025,1.157,1.163,1.169,1.154,18.75M,0.17%
09/01/2025,1.155,1.161,1.166,1.151,27.00M,-0.43%
08/01/2025,1.16,1.135,1.164,1.131,20.24M,2.47%
07/01/2025,1.132,1.136,1.141,1.124,28.44M,-0.18%
06/01/2025,1.134,1.11,1.136,1.109,7.28M,2.16%
05/01/2025,1.11,1.103,1.115,1.096,9.79M,0.63%
04/01/2025,1.103,1.09,1.108,1.077,13.46M,1.85%
03/01/2025,1.083,1.078,1.091,1.075,7.00M,0.46%
02/01/2025,1.078,1.067,1.079,1.064,6.17M,1.13%
01/01/2025,1.066,1.07,1.073,1.052,10.05M,-1.20%
12/01/2024,1.079,1.085,1.092,1.069,6.31M,-0.55%
11/01/2024,1.085,1.084,1.085,1.07,15.88M,0.28%
10/01/2024,1.082,1.092,1.095,1.07,10.70M,-0.82%
09/01/2024,1.091,1.078,1.109,1.075,24.92M,1.30%
08/01/2024,1.077,1.065,1.081,1.06,11.50M,1.41%
07/01/2024,1.062,1.038,1.063,1.036,11.38M,1.24%
06/01/2024,1.049,1.042,1.054,1.041,9.96M,1.06%
05/01/2024,1.038,1.03,1.045,1.028,9.33M,0.78%
04/01/2024,1.03,1.05,1.05,1.029,10.81M,-1.72%
03/01/2024,1.048,1.048,1.055,1.045,4.39M,0.10%
02/01/2024,1.047,1.06,1.064,1.044,5.54M,-0.95%
01/01/2024,1.057,1.066,1.066,1.048,7.25M,-1.49%
12/01/2023,1.073,1.054,1.076,1.052,22.00M,1.80%
11/01/2023,1.054,1.028,1.057,1.024,6.93M,2.73%
10/01/2023,1.026,1.026,1.032,1.018,21.93M,-0.10%
09/01/2023,1.027,1.034,1.037,1.022,4.38M,-0.68%
08/01/2023,1.034,1.048,1.05,1.026,5.21M,-1.43%
07/01/2023,1.049,1.05,1.057,1.034,6.53M,-0.85%
06/01/2023,1.058,1.068,1.07,1.056,4.55M,-0.94%
05/01/2023,1.068,1.067,1.081,1.052,9.74M,0.00%
04/01/2023,1.068,1.055,1.071,1.053,4.96M,1.42%
03/01/2023,1.053,1.025,1.066,1.014,7.91M,2.53%
02/01/2023,1.027,1.046,1.052,1.018,3.83M,-2.00%
01/01/2023,1.048,1.051,1.058,1.039,7.13M,-0.38%
12/01/2022,1.052,1.043,1.06,1.043,5.35M,0.96%
11/01/2022,1.042,1.018,1.05,1.011,8.97M,2.36%
10/01/2022,1.018,1.006,1.026,1.005,14.68M,0.89%
09/01/2022,1.009,1.042,1.042,1.005,22.16M,-2.98%
08/01/2022,1.04,1.059,1.065,1.037,6.83M,-1.79%
07/01/2022,1.059,1.046,1.059,1.039,16.81M,1.05%
06/01/2022,1.048,1.072,1.072,1.035,4.42M,-2.24%
05/01/2022,1.072,1.085,1.085,1.055,9.01M,-0.92%
04/01/2022,1.082,1.093,1.094,1.071,4.24M,-1.01%
03/01/2022,1.093,1.135,1.145,1.087,5.27M,-3.53%
02/01/2022,1.133,1.143,1.145,1.127,3.81M,-0.70%
01/01/2022,1.141,1.153,1.153,1.132,11.02M,-1.55%
12/01/2021,1.159,1.16,1.172,1.155,4.93M,-0.26%
11/01/2021,1.162,1.144,1.162,1.144,12.82M,1.66%
10/01/2021,1.143,1.169,1.169,1.143,14.89M,-2.22%
09/01/2021,1.169,1.183,1.183,1.167,7.49M,-1.18%
08/01/2021,1.183,1.192,1.195,1.177,7.17M,-0.84%
07/01/2021,1.193,1.183,1.194,1.171,23.61M,0.59%
06/01/2021,1.186,1.188,1.199,1.182,7.20M,-0.25%
05/01/2021,1.189,1.178,1.19,1.174,5.52M,1.02%
04/01/2021,1.177,1.164,1.183,1.163,7.74M,1.12%
