"Date","Price","Open","High","Low","Change %"
"Mar 26","8.190","8.300","8.340","8.190","-1.80%"
"Feb 26","8.340","8.300","8.370","8.300","0.36%"
"Jan 26","8.310","8.330","8.370","8.310","-0.24%"
"Dec 25","8.330","8.350","8.380","8.320","-0.48%"
"Nov 25","8.370","8.380","8.410","8.360","-0.12%"
"Oct 25","8.380","8.370","8.470","8.350","0.36%"
"Sep 25","8.350","8.330","8.440","8.330","0.00%"
"Aug 25","8.350","8.350","8.390","8.290","0.72%"
"Jul 25","8.290","8.360","8.360","8.280","-0.84%"
"Jun 25","8.360","8.250","8.390","8.240","1.21%"
"May 25","8.260","8.300","8.330","8.220","-0.84%"
"Apr 25","8.330","8.400","8.410","8.180","-0.72%"
"Mar 25","8.390","8.430","8.450","8.380","-0.24%"
"Feb 25","8.410","8.340","8.460","8.340","0.84%"
"Jan 25","8.340","8.300","8.340","8.230","0.36%"
"Dec 24","8.310","8.430","8.460","8.310","-1.42%"
"Nov 24","8.430","8.360","8.440","8.350","0.60%"
"Oct 24","8.380","8.570","8.580","8.380","-2.33%"
"Sep 24","8.580","8.530","8.640","8.530","0.70%"
"Aug 24","8.520","8.520","8.590","8.500","0.35%"
"Jul 24","8.490","8.380","8.530","8.380","0.95%"
"Jun 24","8.410","8.440","8.490","8.410","-0.24%"
"May 24","8.430","8.370","8.550","8.370","0.36%"
"Apr 24","8.400","8.540","8.560","8.390","-1.98%"
"Mar 24","8.570","8.520","8.610","8.520","0.71%"
"Feb 24","8.510","8.610","8.630","8.510","-1.05%"
"Jan 24","8.600","8.600","8.660","8.570","-0.35%"
"Dec 23","8.630","8.450","8.700","8.450","1.89%"
"Nov 23","8.470","8.200","8.480","8.200","3.42%"
"Oct 23","8.190","8.310","8.330","8.190","-1.92%"
"Sep 23","8.350","8.540","8.540","8.350","-2.22%"
"Aug 23","8.540","8.630","8.630","8.480","-1.04%"
"Jul 23","8.630","8.590","8.690","8.520","0.70%"
"Jun 23","8.570","8.550","8.660","8.550","0.35%"
"May 23","8.540","8.630","8.700","8.490","-1.39%"
"Apr 23","8.660","8.690","8.730","8.640","0.00%"
"Mar 23","8.660","8.630","8.730","8.560","0.35%"
"Feb 23","8.630","8.900","8.980","8.630","-2.82%"
"Jan 23","8.880","8.690","8.950","8.690","2.30%"
"Dec 22","8.680","8.730","8.840","8.680","0.12%"
"Nov 22","8.670","8.480","8.740","8.430","1.88%"
"Oct 22","8.510","8.470","8.560","8.390","0.35%"
"Sep 22","8.480","8.860","8.920","8.480","-4.50%"
"Aug 22","8.880","9.010","9.080","8.880","-1.22%"
"Jul 22","8.990","8.750","8.990","8.710","2.74%"
"Jun 22","8.750","9.120","9.120","8.730","-4.16%"
"May 22","9.130","9.060","9.140","9.010","0.33%"
"Apr 22","9.100","9.420","9.430","9.100","-3.50%"
"Mar 22","9.430","9.560","9.560","9.290","-2.48%"
"Feb 22","9.670","9.850","9.870","9.630","-1.63%"
"Jan 22","9.830","10.000","10.000","9.830","-1.60%"
"Dec 21","9.990","9.920","10.020","9.920","0.60%"
"Nov 21","9.930","10.040","10.110","9.930","-1.19%"
"Oct 21","10.050","10.120","10.130","10.050","-0.59%"
"Sep 21","10.110","10.170","10.200","10.110","-0.59%"
"Aug 21","10.170","10.180","10.180","10.130","-0.10%"
"Jul 21","10.180","10.190","10.200","10.150","-0.10%"
"Jun 21","10.190","10.200","10.240","10.180","0.00%"
"May 21","10.190","10.180","10.220","10.170","0.10%"
"Apr 21","10.180","10.100","10.210","10.100","0.99%"
