Date,Open,High,Low,Close,Adj Close,Volume
1-Mar-26,118.54,0,0,119.13,119.13,-
1-Feb-26,124.99,0,0,117.68,117.68,-
1-Jan-26,131.13,0,0,127.15,127.15,-
1-Dec-25,130.7,0,0,129.95,129.95,-
1-Nov-25,141.94,0,0,131.17,131.17,-
1-Oct-25,131.52,0,0,141.9,141.9,-
1-Sep-25,121.05,0,0,132.28,132.28,-
1-Aug-25,118.27,0,0,122.85,122.85,-
1-Jul-25,120.21,0,0,125.15,125.15,-
1-Jun-25,110.39,0,0,120.33,120.33,-
1-May-25,103.72,0,0,110.08,110.08,-
1-Apr-25,100.99,0,0,99.77,99.77,-
1-Mar-25,114.96,0,0,99.07,99.07,-
1-Feb-25,122.92,0,0,113.98,113.98,-
1-Jan-25,118.02,0,0,126.41,126.41,-
1-Dec-24,117.67,0,0,117.58,117.58,-
1-Nov-24,104.97,0,0,116.6,116.6,-
1-Oct-24,99.24,0,0,103.51,103.51,-
1-Sep-24,96.96,0,0,99.65,99.65,-
1-Aug-24,99.72,0,0,98.15,98.15,-
1-Jul-24,105.22,0,0,98.62,98.62,-
1-Jun-24,98.04,0,0,107.58,107.58,-
1-May-24,94.93,0,0,97.91,97.91,-
1-Apr-24,100.16,0,0,97.97,97.97,-
1-Mar-24,101.97,0,0,102.02,102.02,-
1-Feb-24,93.74,0,0,100.79,100.79,-
1-Jan-24,87.66,0,0,93.78,93.78,-
1-Dec-23,84.18,0,0,89.54,89.54,-
1-Nov-23,75.56,0,0,84.54,84.54,-
1-Oct-23,79.1,0,0,74.52,74.52,-
1-Sep-23,83.17,0,0,79.38,79.38,-
1-Aug-23,83.39,0,0,82.79,82.79,-
1-Jul-23,81.09,0,0,83.74,83.74,-
1-Jun-23,75.5,0,0,81.12,81.12,-
1-May-23,65.03,0,0,76.22,76.22,-
1-Apr-23,66.93,0,0,64.47,64.47,-
1-Mar-23,63.7,0,0,66.81,66.81,-
1-Feb-23,62.11,0,0,63.83,63.83,-
1-Jan-23,55.57,0,0,60.82,60.82,-
1-Dec-22,62.09,0,0,54.9,54.9,-
1-Nov-22,61.28,0,0,59.19,59.19,-
1-Oct-22,60.96,0,0,61.17,61.17,-
1-Sep-22,65.1,0,0,61.52,61.52,-
1-Aug-22,68.62,0,0,67.9,67.9,-
1-Jul-22,61.1,0,0,68.34,68.34,-
1-Jun-22,67.49,0,0,60.12,60.12,-
1-May-22,71.58,0,0,66.65,66.65,-
1-Apr-22,82.86,0,0,74.14,74.14,-
1-Mar-22,75.89,0,0,83.58,83.58,-
