Date,Price,Open,High,Low,Change %
26-Mar,4.046,4.24,4.267,3.839,-5.18%
26-Feb,4.267,3.942,4.287,3.942,5.78%
26-Jan,4.034,3.828,4.082,3.828,5.41%
25-Dec,3.827,3.736,3.827,3.696,2.44%
25-Nov,3.736,3.923,3.923,3.667,-3.51%
25-Oct,3.872,3.713,3.901,3.686,4.03%
25-Sep,3.722,3.451,3.722,3.426,8.64%
25-Aug,3.426,3.305,3.502,3.305,1.36%
25-Jul,3.38,3.2,3.402,3.2,5.39%
25-Jun,3.207,3.078,3.246,3.078,3.69%
25-May,3.093,3.02,3.159,3.02,3.72%
25-Apr,2.982,3.134,3.146,2.759,-6.26%
25-Mar,3.181,3.146,3.241,3.13,-1.52%
25-Feb,3.23,3.116,3.267,3.116,2.31%
25-Jan,3.157,3.245,3.245,3.07,-2.83%
24-Dec,3.249,3.182,3.3,3.182,1.75%
24-Nov,3.193,3.28,3.311,3.181,-3.80%
24-Oct,3.319,3.344,3.453,3.285,-1.01%
24-Sep,3.353,3.164,3.353,3.021,6.58%
24-Aug,3.146,3.194,3.198,2.942,-0.63%
24-Jul,3.166,3.265,3.342,3.151,-3.45%
24-Jun,3.279,3.133,3.312,3.133,4.06%
24-May,3.151,3.16,3.301,3.151,-0.35%
24-Apr,3.162,3.122,3.169,2.999,1.51%
24-Mar,3.115,3.019,3.126,3.015,2.87%
24-Feb,3.028,2.834,3.055,2.834,5.73%
24-Jan,2.864,3.053,3.053,2.805,-5.98%
23-Dec,3.046,3.014,3.046,2.935,1.30%
23-Nov,3.007,2.95,3.083,2.946,1.25%
23-Oct,2.97,3.065,3.115,2.916,-2.11%
23-Sep,3.034,3.118,3.198,3.034,-3.01%
23-Aug,3.128,3.279,3.29,3.059,-4.43%
23-Jul,3.273,3.211,3.273,3.128,1.30%
23-Jun,3.231,3.102,3.317,3.097,2.96%
23-May,3.138,3.199,3.199,3.129,-1.48%
23-Apr,3.185,3.283,3.299,3.151,-2.72%
23-Mar,3.274,3.268,3.371,3.145,0.12%
23-Feb,3.27,3.398,3.447,3.27,-4.80%
23-Jan,3.435,3.214,3.486,3.191,6.54%
22-Dec,3.224,3.278,3.341,3.211,0.34%
22-Nov,3.213,2.792,3.229,2.792,15.45%
22-Oct,2.783,3.088,3.187,2.783,-9.79%
22-Sep,3.085,3.426,3.426,3.085,-9.58%
22-Aug,3.412,3.418,3.454,3.352,-1.02%
22-Jul,3.447,3.507,3.531,3.387,-2.32%
22-Jun,3.529,3.559,3.612,3.414,1.09%
22-May,3.491,3.511,3.511,3.269,1.78%
22-Apr,3.43,3.696,3.745,3.365,-8.12%
22-Mar,3.733,3.916,3.927,3.355,-4.45%
22-Feb,3.907,4.031,4.138,3.893,-1.91%
22-Jan,3.983,4.23,4.248,3.983,-5.59%
21-Dec,4.219,4.26,4.379,4.123,-2.20%
21-Nov,4.314,4.356,4.503,4.314,-1.15%
21-Oct,4.364,4.319,4.424,4.206,0.97%
21-Sep,4.322,4.504,4.567,4.296,-2.94%
21-Aug,4.453,4.458,4.57,4.32,-0.56%
21-Jul,4.478,4.67,4.67,4.354,-3.76%
21-Jun,4.653,4.615,4.661,4.526,1.15%
21-May,4.6,4.673,4.673,4.432,-2.62%
21-Apr,4.724,4.639,4.724,4.611,0.64%
