Date,Open,High,Low,Close,Adj Close,Volume
1-Mar-26,20.16,0,0,18.06,18.06,-
1-Feb-26,16.58,0,0,20.03,20.03,-
1-Jan-26,15.34,0,0,19.67,19.67,-
1-Dec-25,14.65,0,0,15.59,15.59,-
1-Nov-25,12.6,0,0,14.44,14.44,-
1-Oct-25,13.29,0,0,12.53,12.53,-
1-Sep-25,10.98,0,0,13.09,13.09,-
1-Aug-25,9.22,0,0,10.73,10.73,-
1-Jul-25,9.38,0,0,9.14,9.14,-
1-Jun-25,9.52,0,0,9.14,9.14,-
1-May-25,8.5,0,0,9.01,9.01,-
1-Apr-25,8.14,0,0,8.65,8.65,-
1-Mar-25,7.23,0,0,8.05,8.05,-
1-Feb-25,7.14,0,0,7.02,7.02,-
1-Jan-25,6.37,0,0,7.12,7.12,-
1-Dec-24,6.68,0,0,6.18,6.18,-
1-Nov-24,7.25,0,0,6.81,6.81,-
1-Oct-24,7.19,0,0,7.23,7.23,-
1-Sep-24,6.85,0,0,7.12,7.12,-
1-Aug-24,6.6,0,0,6.9,6.9,-
1-Jul-24,6.01,0,0,6.54,6.54,-
1-Jun-24,6.22,0,0,6.05,6.05,-
1-May-24,5.79,0,0,6.3,6.3,-
1-Apr-24,5.74,0,0,5.94,5.94,-
1-Mar-24,4.71,0,0,5.6,5.6,-
1-Feb-24,5.06,0,0,4.72,4.72,-
1-Jan-24,5.57,0,0,5.09,5.09,-
1-Dec-23,5.65,0,0,5.55,5.55,-
1-Nov-23,5.12,0,0,5.56,5.56,-
1-Oct-23,4.8,0,0,5.18,5.18,-
1-Sep-23,5.42,0,0,4.98,4.98,-
1-Aug-23,5.62,0,0,5.45,5.45,-
1-Jul-23,5.59,0,0,5.74,5.74,-
1-Jun-23,5.79,0,0,5.48,5.48,-
1-May-23,6.1,0,0,5.65,5.65,-
1-Apr-23,5.95,0,0,6.16,6.16,-
1-Mar-23,5.29,0,0,5.92,5.92,-
1-Feb-23,5.92,0,0,5.13,5.13,-
1-Jan-23,5.36,0,0,5.87,5.87,-
1-Dec-22,5.49,0,0,5.35,5.35,-
1-Nov-22,4.51,0,0,5.26,5.26,-
1-Oct-22,4.53,0,0,4.52,4.52,-
1-Sep-22,4.35,0,0,4.3,4.3,-
1-Aug-22,4.86,0,0,4.47,4.47,-
1-Jul-22,4.96,0,0,4.79,4.79,-
1-Jun-22,5.82,0,0,5.1,5.1,-
1-May-22,6.25,0,0,5.94,5.94,-
1-Apr-22,6.99,0,0,6.56,6.56,-
1-Mar-22,7.09,0,0,7,7,-
