,Nikko STI ETF,Lion-OCBC HSTECH ETF,ABF SG Bond,Fidelity Global Tech,PIMCO Income SGD-H,JPM US Tech SGD,Schroder Asian Growth,BlackRock World Gold,Franklin India SGD,United SGD Fund
Nikko STI ETF,0.008608767683792104,0.01367289859772562,0.0018092949393747305,0.005589408889053399,0.002723893863468188,0.003280704193915808,0.008894534664165362,0.013355017845383503,0.002248073217559172,0.0003643138031012304
Lion-OCBC HSTECH ETF,0.01367289859772562,0.12475803142974287,0.002905089837541109,0.0115339017174312,0.004156000068175381,-0.00072044919832956,0.04206477210527132,0.03476221407306753,-0.01248397840623151,0.0011149650897650794
ABF SG Bond,0.0018092949393747305,0.002905089837541109,0.002274737389747954,0.0034541775979122355,0.0018679359746895693,0.002426814474859106,0.002322205077249365,0.0063522274104776625,0.0013426942634226346,0.00035279640966411535
Fidelity Global Tech,0.005589408889053399,0.0115339017174312,0.0034541775979122355,0.027996431733065808,0.006749371316511344,0.035825101731380954,0.01310421015800398,0.014305971066004033,0.007332645777796204,0.0009610595515564069
PIMCO Income SGD-H,0.002723893863468188,0.004156000068175381,0.0018679359746895693,0.006749371316511344,0.00315354108715214,0.005537543998049452,0.003925273229823499,0.008025072895285269,0.0022029545173825353,0.000443194450341973
JPM US Tech SGD,0.003280704193915808,-0.00072044919832956,0.002426814474859106,0.035825101731380954,0.005537543998049452,0.06779229252092803,0.008483317706814885,-0.006170527353319908,0.014805743396911594,0.000738353466970941
Schroder Asian Growth,0.008894534664165362,0.04206477210527132,0.002322205077249365,0.01310421015800398,0.003925273229823499,0.008483317706814885,0.028166989501389336,0.018821744363715438,-0.0011243089680820343,0.0008197058053576043
BlackRock World Gold,0.013355017845383503,0.03476221407306753,0.0063522274104776625,0.014305971066004033,0.008025072895285269,-0.006170527353319908,0.018821744363715438,0.11259258453293283,-0.00716657294585255,0.001349580926271515
Franklin India SGD,0.002248073217559172,-0.01248397840623151,0.0013426942634226346,0.007332645777796204,0.0022029545173825353,0.014805743396911594,-0.0011243089680820343,-0.00716657294585255,0.016794245899636427,0.00016757795083455752
United SGD Fund,0.0003643138031012304,0.0011149650897650794,0.00035279640966411535,0.0009610595515564069,0.000443194450341973,0.000738353466970941,0.0008197058053576043,0.001349580926271515,0.00016757795083455752,0.00011136349273674047
