,Nikko STI ETF,Lion-OCBC HSTECH ETF,ABF SG Bond,Fidelity Global Tech,PIMCO Income SGD-H,JPM US Tech SGD,Schroder Asian Growth,BlackRock World Gold,Franklin India SGD,United SGD Fund
Nikko STI ETF,0.0007173973069826753,0.001139408216477135,0.00015077457828122754,0.00046578407408778323,0.00022699115528901565,0.00027339201615965067,0.0007412112220137802,0.0011129181537819586,0.00018733943479659767,3.03594835917692e-05
Lion-OCBC HSTECH ETF,0.001139408216477135,0.010396502619145239,0.00024209081979509241,0.0009611584764526,0.0003463333390146151,-6.0037433194129996e-05,0.003505397675439277,0.0028968511727556277,-0.0010403315338526258,9.291375748042328e-05
ABF SG Bond,0.00015077457828122754,0.00024209081979509241,0.00018956144914566286,0.00028784813315935296,0.00015566133122413078,0.00020223453957159216,0.0001935170897707804,0.0005293522842064719,0.00011189118861855288,2.9399700805342947e-05
Fidelity Global Tech,0.00046578407408778323,0.0009611584764526,0.00028784813315935296,0.002333035977755484,0.0005624476097092786,0.002985425144281746,0.0010920175131669983,0.001192164255500336,0.0006110538148163503,8.00882959630339e-05
PIMCO Income SGD-H,0.00022699115528901565,0.0003463333390146151,0.00015566133122413078,0.0005624476097092786,0.00026279509059601167,0.00046146199983745434,0.0003271061024852916,0.0006687560746071057,0.0001835795431152113,3.6932870861831085e-05
JPM US Tech SGD,0.00027339201615965067,-6.0037433194129996e-05,0.00020223453957159216,0.002985425144281746,0.00046146199983745434,0.005649357710077336,0.0007069431422345738,-0.000514210612776659,0.0012338119497426329,6.152945558091175e-05
Schroder Asian Growth,0.0007412112220137802,0.003505397675439277,0.0001935170897707804,0.0010920175131669983,0.0003271061024852916,0.0007069431422345738,0.002347249125115778,0.0015684786969762865,-9.369241400683619e-05,6.830881711313369e-05
BlackRock World Gold,0.0011129181537819586,0.0028968511727556277,0.0005293522842064719,0.001192164255500336,0.0006687560746071057,-0.000514210612776659,0.0015684786969762865,0.009382715377744403,-0.0005972144121543792,0.00011246507718929291
Franklin India SGD,0.00018733943479659767,-0.0010403315338526258,0.00011189118861855288,0.0006110538148163503,0.0001835795431152113,0.0012338119497426329,-9.369241400683619e-05,-0.0005972144121543792,0.0013995204916363688,1.3964829236213126e-05
United SGD Fund,3.03594835917692e-05,9.291375748042328e-05,2.9399700805342947e-05,8.00882959630339e-05,3.6932870861831085e-05,6.152945558091175e-05,6.830881711313369e-05,0.00011246507718929291,1.3964829236213126e-05,9.280291061395039e-06
