target_return,return,risk
0.037645,0.037645,0.007146
0.039253,0.039253,0.007164
0.040860,0.040860,0.007202
0.042468,0.042468,0.007260
0.044076,0.044076,0.007338
0.045683,0.045683,0.007435
0.047291,0.047291,0.007550
0.048899,0.048899,0.007682
0.050506,0.050506,0.007831
0.052114,0.052114,0.007995
0.053722,0.053722,0.008174
0.055329,0.055329,0.008366
0.056937,0.056937,0.008571
0.058545,0.058545,0.008788
0.060152,0.060152,0.009017
0.061760,0.061760,0.009255
0.063368,0.063368,0.009503
0.064975,0.064975,0.009759
0.066583,0.066583,0.010024
0.068191,0.068191,0.010296
0.069798,0.069798,0.010574
0.071406,0.071406,0.010859
0.073014,0.073014,0.011150
0.074621,0.074621,0.011447
0.076229,0.076229,0.011748
0.077837,0.077837,0.012054
0.079444,0.079444,0.012364
0.081052,0.081052,0.012678
0.082660,0.082660,0.012996
0.084267,0.084267,0.013317
0.085875,0.085875,0.013642
0.087483,0.087483,0.013969
0.089090,0.089090,0.014299
0.090698,0.090698,0.014631
0.092306,0.092306,0.014966
0.093913,0.093913,0.015304
0.095521,0.095521,0.015643
0.097129,0.097129,0.015984
0.098736,0.098736,0.016327
0.100344,0.100344,0.016672
0.101952,0.101952,0.017019
0.103559,0.103559,0.017366
0.105167,0.105167,0.017716
0.106775,0.106775,0.018067
0.108382,0.108382,0.018418
0.109990,0.109990,0.018772
0.111598,0.111598,0.019126
0.113205,0.113205,0.019481
0.114813,0.114813,0.019838
0.116421,0.116421,0.020195
0.118028,0.118028,0.020553
0.119636,0.119636,0.020912
0.121244,0.121244,0.021272
0.122851,0.122851,0.021633
0.124459,0.124459,0.021994
0.126067,0.126067,0.022356
0.127674,0.127674,0.022719
0.129282,0.129282,0.023083
0.130890,0.130890,0.023447
0.132497,0.132497,0.023811
0.134105,0.134105,0.024177
0.135712,0.135712,0.024542
0.137320,0.137320,0.024908
0.138928,0.138928,0.025275
0.140535,0.140535,0.025642
0.142143,0.142143,0.026010
0.143751,0.143751,0.026378
0.145358,0.145358,0.026746
0.146966,0.146966,0.027115
0.148574,0.148574,0.027484
0.150181,0.150181,0.027854
0.151789,0.151789,0.028224
