fund_index,display_name,short_name,monthly_average_return,annual_return,annual_volatility
1,Nikko AM Singapore STI ETF,Nikko STI ETF,0.007851,0.094216,0.092783
2,Lion-OCBC Hang Seng TECH ETF,Lion-OCBC HSTECH ETF,0.005970,0.071637,0.353211
3,ABF SG Bond Index Fund,ABF SG Bond,0.000860,0.010322,0.047694
4,Fidelity Global Technology A-ACC-USD,Fidelity Global Tech,0.012964,0.155569,0.167321
5,PIMCO Income Fund Cl E Inc SGD-H,PIMCO Income SGD-H,-0.002803,-0.033638,0.056156
6,JPMorgan US Technology A (acc) SGD,JPM US Tech SGD,0.010148,0.121780,0.260370
7,Schroder Asian Growth A Dis SGD,Schroder Asian Growth,0.002818,0.033813,0.167830
8,BlackRock World Gold Fund A2 SGD-H,BlackRock World Gold,0.024339,0.292067,0.335548
9,FTIF - Franklin India A (acc) SGD,Franklin India SGD,0.002800,0.033602,0.129593
10,United SGD Fund - Class A SGD Acc,United SGD Fund,0.002420,0.029037,0.010553
