Period,Nikko STI ETF,Lion-OCBC HSTECH ETF,ABF SG Bond,Fidelity Global Tech,PIMCO Income SGD-H,JPM US Tech SGD,Schroder Asian Growth,BlackRock World Gold,Franklin India SGD,United SGD Fund
2022-04,-0.005780,-0.001314,-0.010064,-0.085676,-0.034995,-0.112946,-0.081168,-0.062857,-0.011671,-0.002558
2022-05,-0.026163,0.000000,-0.009242,-0.012884,0.003297,-0.101025,0.017784,-0.094512,-0.048309,0.003077
2022-06,-0.041791,0.105263,-0.022388,-0.068822,-0.041621,-0.097974,0.010885,-0.141414,-0.051325,-0.005112
2022-07,0.012461,-0.119048,0.010496,0.076139,0.027429,0.136727,-0.023236,-0.060784,0.091558,0.002569
2022-08,0.012308,-0.005405,-0.017941,-0.021906,-0.012236,-0.006438,-0.010154,-0.066806,0.023965,-0.000513
2022-09,-0.024316,-0.167120,-0.029808,-0.088378,-0.045045,-0.093962,-0.095838,-0.038031,-0.021809,-0.008205
2022-10,-0.015576,-0.187602,0.008920,0.034197,0.003538,-0.005689,-0.097893,0.051163,0.014682,-0.003102
2022-11,0.066456,0.291165,0.023576,0.036918,0.018801,-0.032369,0.154510,0.163717,0.012862,0.003631
2022-12,-0.005935,0.077760,0.009597,-0.044892,0.001153,-0.072478,0.003424,0.017110,-0.071958,0.005685
2023-01,0.011940,0.069264,-0.003802,0.136791,0.023041,0.107832,0.065447,0.097196,-0.017104,0.006680
2023-02,-0.023599,-0.114710,-0.020038,-0.007984,-0.028153,0.049490,-0.048035,-0.126065,-0.005220,0.000000
2023-03,-0.006042,0.071646,0.025316,0.056051,0.003476,0.046687,0.001223,0.153996,0.001749,0.006636
2023-04,0.012158,-0.085349,0.014245,-0.025041,0.000000,-0.035025,-0.027184,0.040541,0.041327,0.003550
2023-05,-0.019520,-0.048212,0.000000,0.041876,-0.013857,0.182255,-0.014757,-0.082792,0.031861,0.000505
2023-06,0.015008,0.070261,-0.009363,0.043140,0.003513,0.064288,0.029637,-0.030088,0.057421,0.001010
2023-07,0.028968,0.149618,-0.008507,0.049576,0.007001,0.032298,0.012999,0.047445,0.017930,0.003532
2023-08,-0.021994,-0.074369,-0.014299,-0.020803,-0.010429,-0.011345,-0.044302,-0.050523,0.010569,0.002514
2023-09,-0.005697,-0.051650,-0.006770,-0.030492,-0.022248,-0.041189,-0.030051,-0.086239,0.022410,0.001505
2023-10,-0.046140,-0.031770,-0.000974,-0.040217,-0.019162,-0.061224,-0.021094,0.040161,-0.024842,0.003505
2023-11,0.006323,0.006250,0.027290,0.126242,0.034188,0.134461,0.012458,0.073359,0.045455,0.006986
2023-12,0.055608,-0.041925,0.018027,0.065347,0.018890,0.059144,0.012970,-0.001799,0.047301,0.005946
2024-01,-0.051488,-0.188006,-0.014911,0.006940,-0.003476,0.047353,-0.059750,-0.082883,0.040146,0.002956
2024-02,0.000941,0.135729,-0.009461,0.040907,-0.010465,0.074749,0.057263,-0.072692,0.024123,0.001473
2024-03,0.030721,0.017575,0.000955,0.031824,0.007051,0.012204,0.028732,0.186441,0.016702,0.003923
2024-04,0.024635,0.075993,-0.017176,-0.025047,-0.019837,-0.039698,0.015088,0.060714,0.015586,0.000489
2024-05,0.021075,-0.001605,0.007767,0.023992,0.003571,-0.000612,-0.003479,0.060606,-0.012028,0.004883
2024-06,0.005233,-0.028939,0.010597,0.059921,-0.002372,0.098764,0.040622,-0.039683,0.075147,0.004373
2024-07,0.011857,-0.026490,0.012393,0.006651,0.009512,-0.083287,-0.034462,0.080992,0.019914,0.006289
2024-08,0.014576,-0.010204,0.014124,-0.001555,0.003534,-0.004766,-0.006317,0.055046,-0.012251,0.005769
2024-09,0.043380,0.309278,0.012999,0.025691,0.007042,0.015283,0.065798,0.031884,0.000388,0.004302
2024-10,-0.007289,-0.017060,-0.008249,-0.008539,-0.023310,0.038736,-0.010140,0.015449,-0.023247,0.001428
2024-11,0.055208,-0.024032,0.002773,0.031196,0.005967,0.126461,-0.037963,-0.058091,0.034510,0.001426
2024-12,0.016495,0.041040,-0.005530,-0.001485,-0.014235,0.008405,0.017538,-0.092511,-0.001534,0.002373
2025-01,-0.008367,0.084100,-0.012048,0.037918,0.003610,0.075098,-0.028316,0.152104,-0.056452,0.002367
2025-02,0.014063,0.133333,0.011257,-0.024176,0.008393,-0.098331,0.023123,-0.014045,-0.072446,0.005196
2025-03,0.022945,-0.013904,0.004638,-0.063131,-0.002378,-0.130812,-0.015170,0.146724,0.051338,0.003289
2025-04,-0.028839,-0.094360,0.018467,-0.009011,-0.007151,0.007066,-0.062559,0.074534,0.017112,0.002342
2025-05,0.029188,-0.004790,0.006346,0.076102,-0.008403,0.103338,0.037223,0.041618,0.000000,0.003738
