Period,Nikko STI ETF,Lion-OCBC HSTECH ETF,ABF SG Bond,Fidelity Global Tech,PIMCO Income SGD-H,JPM US Tech SGD,Schroder Asian Growth,BlackRock World Gold,Franklin India SGD,United SGD Fund
2022-03,3.460000,0.761000,1.093000,37.350000,9.430000,83.580000,3.733000,7.000000,18.850000,1.955000
2022-04,3.440000,0.760000,1.082000,34.150000,9.100000,74.140000,3.430000,6.560000,18.630000,1.950000
2022-05,3.350000,0.760000,1.072000,33.710000,9.130000,66.650000,3.491000,5.940000,17.730000,1.956000
2022-06,3.210000,0.840000,1.048000,31.390000,8.750000,60.120000,3.529000,5.100000,16.820000,1.946000
2022-07,3.250000,0.740000,1.059000,33.780000,8.990000,68.340000,3.447000,4.790000,18.360000,1.951000
2022-08,3.290000,0.736000,1.040000,33.040000,8.880000,67.900000,3.412000,4.470000,18.800000,1.950000
2022-09,3.210000,0.613000,1.009000,30.120000,8.480000,61.520000,3.085000,4.300000,18.390000,1.934000
2022-10,3.160000,0.498000,1.018000,31.150000,8.510000,61.170000,2.783000,4.520000,18.660000,1.928000
2022-11,3.370000,0.643000,1.042000,32.300000,8.670000,59.190000,3.213000,5.260000,18.900000,1.935000
2022-12,3.350000,0.693000,1.052000,30.850000,8.680000,54.900000,3.224000,5.350000,17.540000,1.946000
2023-01,3.390000,0.741000,1.048000,35.070000,8.880000,60.820000,3.435000,5.870000,17.240000,1.959000
2023-02,3.310000,0.656000,1.027000,34.790000,8.630000,63.830000,3.270000,5.130000,17.150000,1.959000
2023-03,3.290000,0.703000,1.053000,36.740000,8.660000,66.810000,3.274000,5.920000,17.180000,1.972000
2023-04,3.330000,0.643000,1.068000,35.820000,8.660000,64.470000,3.185000,6.160000,17.890000,1.979000
2023-05,3.265000,0.612000,1.068000,37.320000,8.540000,76.220000,3.138000,5.650000,18.460000,1.980000
2023-06,3.314000,0.655000,1.058000,38.930000,8.570000,81.120000,3.231000,5.480000,19.520000,1.982000
2023-07,3.410000,0.753000,1.049000,40.860000,8.630000,83.740000,3.273000,5.740000,19.870000,1.989000
2023-08,3.335000,0.697000,1.034000,40.010000,8.540000,82.790000,3.128000,5.450000,20.080000,1.994000
2023-09,3.316000,0.661000,1.027000,38.790000,8.350000,79.380000,3.034000,4.980000,20.530000,1.997000
2023-10,3.163000,0.640000,1.026000,37.230000,8.190000,74.520000,2.970000,5.180000,20.020000,2.004000
2023-11,3.183000,0.644000,1.054000,41.930000,8.470000,84.540000,3.007000,5.560000,20.930000,2.018000
2023-12,3.360000,0.617000,1.073000,44.670000,8.630000,89.540000,3.046000,5.550000,21.920000,2.030000
2024-01,3.187000,0.501000,1.057000,44.980000,8.600000,93.780000,2.864000,5.090000,22.800000,2.036000
2024-02,3.190000,0.569000,1.047000,46.820000,8.510000,100.790000,3.028000,4.720000,23.350000,2.039000
2024-03,3.288000,0.579000,1.048000,48.310000,8.570000,102.020000,3.115000,5.600000,23.740000,2.047000
2024-04,3.369000,0.623000,1.030000,47.100000,8.400000,97.970000,3.162000,5.940000,24.110000,2.048000
2024-05,3.440000,0.622000,1.038000,48.230000,8.430000,97.910000,3.151000,6.300000,23.820000,2.058000
2024-06,3.458000,0.604000,1.049000,51.120000,8.410000,107.580000,3.279000,6.050000,25.610000,2.067000
2024-07,3.499000,0.588000,1.062000,51.460000,8.490000,98.620000,3.166000,6.540000,26.120000,2.080000
2024-08,3.550000,0.582000,1.077000,51.380000,8.520000,98.150000,3.146000,6.900000,25.800000,2.092000
2024-09,3.704000,0.762000,1.091000,52.700000,8.580000,99.650000,3.353000,7.120000,25.810000,2.101000
2024-10,3.677000,0.749000,1.082000,52.250000,8.380000,103.510000,3.319000,7.230000,25.210000,2.104000
2024-11,3.880000,0.731000,1.085000,53.880000,8.430000,116.600000,3.193000,6.810000,26.080000,2.107000
2024-12,3.944000,0.761000,1.079000,53.800000,8.310000,117.580000,3.249000,6.180000,26.040000,2.112000
2025-01,3.911000,0.825000,1.066000,55.840000,8.340000,126.410000,3.157000,7.120000,24.570000,2.117000
2025-02,3.966000,0.935000,1.078000,54.490000,8.410000,113.980000,3.230000,7.020000,22.790000,2.128000
2025-03,4.057000,0.922000,1.083000,51.050000,8.390000,99.070000,3.181000,8.050000,23.960000,2.135000
2025-04,3.940000,0.835000,1.103000,50.590000,8.330000,99.770000,2.982000,8.650000,24.370000,2.140000
2025-05,4.055000,0.831000,1.110000,54.440000,8.260000,110.080000,3.093000,9.010000,24.370000,2.148000
2025-06,4.124000,0.843000,1.134000,57.990000,8.360000,120.330000,3.207000,9.140000,24.740000,2.160000
2025-07,4.260000,0.876000,1.132000,59.560000,8.290000,125.150000,3.380000,9.140000,23.940000,2.167000
2025-08,4.410000,0.913000,1.160000,59.970000,8.350000,122.850000,3.426000,10.730000,23.330000,2.177000
2025-09,4.430000,1.045000,1.155000,63.670000,8.350000,132.280000,3.722000,13.090000,23.230000,2.183000
2025-10,4.575000,0.969000,1.157000,66.450000,8.380000,141.900000,3.872000,12.530000,24.050000,2.188000
2025-11,4.706000,0.913000,1.145000,64.180000,8.370000,131.170000,3.736000,14.440000,24.000000,2.187000
2025-12,4.826000,0.888000,1.134000,65.970000,8.330000,129.950000,3.827000,15.590000,23.620000,2.188000
2026-01,5.006000,0.913000,1.132000,67.690000,8.310000,127.150000,4.034000,19.670000,21.720000,2.193000
2026-02,5.100000,0.815000,1.140000,66.290000,8.340000,117.680000,4.267000,20.030000,21.780000,2.199000
2026-03,4.953000,0.801000,1.134000,65.710000,8.190000,119.130000,4.046000,18.060000,20.860000,2.195000
