fund_index,display_name,short_name,weight
1,Nikko AM Singapore STI ETF,Nikko STI ETF,0.035671707828109064
2,Lion-OCBC Hang Seng TECH ETF,Lion-OCBC HSTECH ETF,0.0
3,ABF SG Bond Index Fund,ABF SG Bond,0.0
4,Fidelity Global Technology A-ACC-USD,Fidelity Global Tech,0.5839075719232444
5,PIMCO Income Fund Cl E Inc SGD-H,PIMCO Income SGD-H,0.0
6,JPMorgan US Technology A (acc) SGD,JPM US Tech SGD,3.3066472194913377e-17
7,Schroder Asian Growth A Dis SGD,Schroder Asian Growth,0.0
8,BlackRock World Gold Fund A2 SGD-H,BlackRock World Gold,0.38042072024864665
9,FTIF - Franklin India A (acc) SGD,Franklin India SGD,0.0
10,United SGD Fund - Class A SGD Acc,United SGD Fund,6.153863768391943e-17
