fund_index,display_name,short_name,weight
1,Nikko AM Singapore STI ETF,Nikko STI ETF,5.765911
2,Lion-OCBC Hang Seng TECH ETF,Lion-OCBC HSTECH ETF,0.216491
3,ABF SG Bond Index Fund,ABF SG Bond,2.810142
4,Fidelity Global Technology A-ACC-USD,Fidelity Global Tech,14.008012
5,PIMCO Income Fund Cl E Inc SGD-H,PIMCO Income SGD-H,-33.406573
6,JPMorgan US Technology A (acc) SGD,JPM US Tech SGD,-4.794663
7,Schroder Asian Growth A Dis SGD,Schroder Asian Growth,-3.548584
8,BlackRock World Gold Fund A2 SGD-H,BlackRock World Gold,0.383462
9,FTIF - Franklin India A (acc) SGD,Franklin India SGD,1.359858
10,United SGD Fund - Class A SGD Acc,United SGD Fund,18.205944
