risk_aversion_a,profile_label,expected_return,variance,risk,utility
1.000000,Aggressive Growth,17.683140,17.646106,4.200727,8.860087
1.050000,Aggressive Growth,16.842938,16.005712,4.000714,8.439939
1.100000,Aggressive Growth,16.079084,14.583815,3.818876,8.057986
1.150000,Aggressive Growth,15.381526,13.343095,3.652820,7.709246
1.200000,Aggressive Growth,14.742110,12.254236,3.500605,7.389568
1.250000,Aggressive Growth,14.154020,11.293690,3.360609,7.095464
1.300000,Aggressive Growth,13.610978,10.441531,3.231336,6.823983
1.350000,Aggressive Growth,13.108279,9.682470,3.111667,6.572612
1.400000,Aggressive Growth,12.641433,9.003196,3.000533,6.339196
1.450000,Aggressive Growth,12.206822,8.393028,2.897072,6.121877
1.500000,Aggressive Growth,11.801156,7.842813,2.800502,5.919046
1.550000,Aggressive Growth,11.421694,7.345022,2.710170,5.729301
1.600000,Aggressive Growth,11.065852,6.893045,2.625461,5.551415
1.650000,Aggressive Growth,10.731683,6.481664,2.545911,5.384310
1.700000,Aggressive Growth,10.417135,6.106001,2.471032,5.227035
1.750000,Aggressive Growth,10.120576,5.762091,2.400436,5.078746
1.800000,Aggressive Growth,9.840409,5.446348,2.333741,4.938696
1.850000,Aggressive Growth,9.575494,5.155976,2.270678,4.806216
1.900000,Aggressive Growth,9.324510,4.888212,2.210930,4.680709
1.950000,Aggressive Growth,9.086347,4.640728,2.154235,4.561637
2.000000,Aggressive Growth,8.860117,4.411598,2.100380,4.448520
2.050000,Aggressive Growth,8.644919,4.199023,2.049152,4.340920
2.100000,Aggressive Growth,8.439979,4.001462,2.000365,4.238444
2.150000,Aggressive Growth,8.244554,3.817507,1.953844,4.140734
2.200000,Aggressive Growth,8.058023,3.645962,1.909440,4.047465
2.250000,Aggressive Growth,7.879774,3.485717,1.867008,3.958342
2.300000,Aggressive Growth,7.709291,3.335824,1.826424,3.873093
2.350000,Aggressive Growth,7.546037,3.195374,1.787561,3.791472
2.400000,Aggressive Growth,7.389595,3.063619,1.750320,3.713252
2.450000,Aggressive Growth,7.239543,2.939851,1.714600,3.638225
2.500000,Aggressive Growth,7.095491,2.823434,1.680308,3.566198
2.550000,Aggressive Growth,6.957101,2.713808,1.647364,3.496996
2.600000,Aggressive Growth,6.824014,2.610429,1.615682,3.430456
2.650000,Aggressive Growth,6.695957,2.512853,1.585198,3.366427
